dataset,lf_index,coverage,accuracy,precision_positive,recall_positive,f1_positive,precision_negative,recall_negative,f1_negative,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,conflict_rate,positive_bias,n_abstain,n_positive,n_negative,n_labeled,total_samples,true_negatives,false_positives,false_negatives,true_positives
census,58,0.014618266691235181,0.7815126050420168,0.0,0.0,0.0,0.7815126050420168,1.0,0.8773584905660378,0.3907563025210084,0.5,0.4386792452830189,0.6107619518395593,0.7815126050420168,0.685666719517996,0.03967168262653899,0.0,16043,0,238,238,16281,,,,
census,59,0.018180701431116025,0.6824324324324325,0.0,0.0,0.0,0.6824324324324325,1.0,0.8112449799196787,0.34121621621621623,0.5,0.40562248995983935,0.46571402483564645,0.6824324324324325,0.5536198849451861,0.3273495248152059,0.0,15985,0,296,296,16281,,,,
census,60,0.021497451016522326,0.86,0.0,0.0,0.0,0.86,1.0,0.924731182795699,0.43,0.5,0.4623655913978495,0.7396,0.86,0.7952688172043012,0.0524759793052476,0.0,15931,0,350,350,16281,,,,
census,61,0.054664946870585346,0.12359550561797752,0.12359550561797752,1.0,0.21999999999999997,0.0,0.0,0.0,0.06179775280898876,0.5,0.10999999999999999,0.015275849008963515,0.12359550561797752,0.02719101123595505,0.962420558165239,1.0,15391,890,0,890,16281,,,,
census,62,0.022418770345801853,0.8575342465753425,0.0,0.0,0.0,0.8575342465753425,1.0,0.9233038348082595,0.42876712328767125,0.5,0.46165191740412975,0.7353649840495403,0.8575342465753425,0.7917646583424253,0.03371647509578544,0.0,15916,0,365,365,16281,,,,
census,63,0.13451262207481113,0.9050228310502283,0.0,0.0,0.0,0.9050228310502283,1.0,0.9501438159156279,0.45251141552511415,0.5,0.47507190795781395,0.8190663247221701,0.9050228310502283,0.8599018461848286,0.13520242476726566,0.0,14091,0,2190,2190,16281,,,,
census,64,0.010318776487930717,0.42857142857142855,0.42857142857142855,1.0,0.6,0.0,0.0,0.0,0.21428571428571427,0.5,0.3,0.18367346938775508,0.42857142857142855,0.2571428571428571,0.8968253968253969,1.0,16113,168,0,168,16281,,,,
census,65,0.029850746268656716,0.691358024691358,0.0,0.0,0.0,0.691358024691358,1.0,0.8175182481751825,0.345679012345679,0.5,0.40875912408759124,0.47797591830513636,0.691358024691358,0.5651978012075335,0.18541409147095178,0.0,15795,0,486,486,16281,,,,
census,66,0.005282230821202629,0.5348837209302325,0.0,0.0,0.0,0.5348837209302325,1.0,0.6969696969696969,0.26744186046511625,0.5,0.34848484848484845,0.28610059491617085,0.5348837209302325,0.37279774489076806,0.11418685121107267,0.0,16195,0,86,86,16281,,,,
census,67,0.01990049751243781,0.5709876543209876,0.0,0.0,0.0,0.5709876543209876,1.0,0.7269155206286836,0.2854938271604938,0.5,0.3634577603143418,0.32602690138698365,0.5709876543209876,0.4150597880132916,0.11702127659574468,0.0,15957,0,324,324,16281,,,,
census,68,0.003009643142313126,0.7346938775510204,0.7346938775510204,1.0,0.8470588235294119,0.0,0.0,0.0,0.3673469387755102,0.5,0.42352941176470593,0.5397750937109538,0.7346938775510204,0.6223289315726291,0.8953488372093024,1.0,16232,49,0,49,16281,,,,
census,69,0.0015969535040845158,0.4230769230769231,0.4230769230769231,1.0,0.5945945945945945,0.0,0.0,0.0,0.21153846153846154,0.5,0.29729729729729726,0.1789940828402367,0.4230769230769231,0.2515592515592515,0.9016393442622951,1.0,16255,26,0,26,16281,,,,
census,70,0.0036852773171181133,0.7333333333333333,0.7333333333333333,1.0,0.846153846153846,0.0,0.0,0.0,0.36666666666666664,0.5,0.423076923076923,0.5377777777777778,0.7333333333333333,0.6205128205128204,0.6507177033492823,1.0,16221,60,0,60,16281,,,,
census,71,0.027086788280818133,0.3356009070294785,0.3356009070294785,1.0,0.5025466893039049,0.0,0.0,0.0,0.16780045351473924,0.5,0.25127334465195245,0.11262796879900866,0.3356009070294785,0.168655124755052,0.816044776119403,1.0,15840,441,0,441,16281,,,,
census,72,0.04637307290706959,0.47019867549668876,0.0,0.0,0.0,0.47019867549668876,1.0,0.6396396396396397,0.23509933774834438,0.5,0.31981981981981983,0.2210867944388404,0.47019867549668876,0.30075771135373786,0.11522048364153627,0.0,15526,0,755,755,16281,,,,
census,73,0.019961918801056446,0.5415384615384615,0.0,0.0,0.0,0.5415384615384615,1.0,0.7025948103792415,0.27076923076923076,0.5,0.35129740518962077,0.2932639053254438,0.5415384615384615,0.38048211269768156,0.07525083612040134,0.0,15956,0,325,325,16281,,,,
census,74,0.03544008353295252,0.32062391681109187,0.32062391681109187,1.0,0.4855643044619423,0.0,0.0,0.0,0.16031195840554593,0.5,0.24278215223097116,0.10279969603128596,0.32062391681109187,0.15568352916024147,0.8395534290271133,1.0,15704,577,0,577,16281,,,,
census,75,0.04145936981757877,0.7333333333333333,0.7333333333333333,1.0,0.846153846153846,0.0,0.0,0.0,0.36666666666666664,0.5,0.423076923076923,0.5377777777777778,0.7333333333333333,0.6205128205128204,0.8310588235294117,1.0,15606,675,0,675,16281,,,,
census,76,0.07554818500092132,0.667479674796748,0.0,0.0,0.0,0.667479674796748,1.0,0.8005850804485617,0.333739837398374,0.5,0.40029254022428085,0.44552911626677244,0.667479674796748,0.5343742691449342,0.2602280348759222,0.0,15051,0,1230,1230,16281,,,,
census,77,0.12407100300964315,0.5346534653465347,0.0,0.0,0.0,0.5346534653465347,1.0,0.6967741935483871,0.26732673267326734,0.5,0.34838709677419355,0.2858543280070582,0.5346534653465347,0.3725327371446822,0.21588743954272313,0.0,14261,0,2020,2020,16281,,,,
